"mu_chain","step_rad"
"mu_chain.Reference",2.21951032114964
"mu_chain.Reference",2.23848053617944
"mu_chain.Reference",2.2392576526944
"mu_chain.Reference",2.27208873643581
"mu_chain.Reference",2.24835343850267
"mu_chain.Reference",2.24114223085734
"mu_chain.Reference",2.23813317620732
"mu_chain.Reference",2.2554380620403
"mu_chain.Reference",2.24542481831859
"mu_chain.Reference",2.24437942456858
"mu_chain.Reference",2.25462548169747
"mu_chain.Reference",2.26380599335962
"mu_chain.Reference",2.2700149595882
"mu_chain.Reference",2.23660671129058
"mu_chain.Reference",2.24135618462688
"mu_chain.Reference",2.24288881329609
"mu_chain.Reference",2.24873532262344
"mu_chain.Reference",2.23476689761942
"mu_chain.Reference",2.23521333230943
"mu_chain.Reference",2.25939746288026
"mu_chain.Reference",2.22782611621147
"mu_chain.Reference",2.22908291341341
"mu_chain.Reference",2.25151872856133
"mu_chain.Reference",2.26000619478935
"mu_chain.Reference",2.25420179667108
"mu_chain.Reference",2.25394755624759
"mu_chain.Reference",2.26512992325839
"mu_chain.Reference",2.25471434227313
"mu_chain.Reference",2.28984390038182
"mu_chain.Reference",2.25343604529771
"mu_chain.Reference",2.27008567812347
"mu_chain.Reference",2.26924640800265
"mu_chain.Reference",2.27931858544932
"mu_chain.Reference",2.29024221737353
"mu_chain.Reference",2.28166578088707
"mu_chain.Reference",2.27083330856944
"mu_chain.Reference",2.2594882558687
"mu_chain.Reference",2.27014885713416
"mu_chain.Reference",2.2727368223327
"mu_chain.Reference",2.27861568489296
"mu_chain.Reference",2.2655131000212
"mu_chain.Reference",2.2793097632879
"mu_chain.Reference",2.27594542880648
"mu_chain.Reference",2.24983508596746
"mu_chain.Reference",2.25263698790017
"mu_chain.Reference",2.27241249674657
"mu_chain.Reference",2.2651083108717
"mu_chain.Reference",2.27463629253005
"mu_chain.Reference",2.29240734406901
"mu_chain.Reference",2.27003064656302
"mu_chain.Reference",2.25693926864516
"mu_chain.Reference",2.29296123813846
"mu_chain.Reference",2.28342628688419
"mu_chain.Reference",2.25785379243088
"mu_chain.Reference",2.26643186986563
"mu_chain.Reference",2.25063037566775
"mu_chain.Reference",2.26634090371104
"mu_chain.Reference",2.2661121228664
"mu_chain.Reference",2.24732640462817
"mu_chain.Reference",2.23882234193682
"mu_chain.Reference",2.21940508900312
"mu_chain.Reference",2.24641080310034
"mu_chain.Reference",2.2415706494477
"mu_chain.Reference",2.22362780201101
"mu_chain.Reference",2.2415159257459
"mu_chain.Reference",2.23911519932768
"mu_chain.Reference",2.24181259574498
"mu_chain.Reference",2.23472991424306
"mu_chain.Reference",2.25267216497917
"mu_chain.Reference",2.24258660125452
"mu_chain.Reference",2.21901745289862
"mu_chain.Reference",2.23522817165035
"mu_chain.Reference",2.20954368009641
"mu_chain.Reference",2.22466233328749
"mu_chain.Reference",2.23274702885679
"mu_chain.Reference",2.24945289511338
"mu_chain.Reference",2.20928185525157
"mu_chain.Reference",2.2075622055617
"mu_chain.Reference",2.19650727553436
"mu_chain.Reference",2.18029709737083
"mu_chain.Reference",2.18734951129801
"mu_chain.Reference",2.1864456221275
"mu_chain.Reference",2.19342342235288
"mu_chain.Reference",2.20737219690971
"mu_chain.Reference",2.19139921518391
"mu_chain.Reference",2.18547630242345
"mu_chain.Reference",2.18953385568665
"mu_chain.Reference",2.20051967916879
"mu_chain.Reference",2.21187269218129
"mu_chain.Reference",2.1863322649823
"mu_chain.Reference",2.20300968157264
"mu_chain.Reference",2.2044793858402
"mu_chain.Reference",2.18320246275447
"mu_chain.Reference",2.21989679269852
"mu_chain.Reference",2.20575387176565
"mu_chain.Reference",2.18620832845048
"mu_chain.Reference",2.17046573196621
"mu_chain.Reference",2.18138291111389
"mu_chain.Reference",2.18405487636351
"mu_chain.Reference",2.17918623031651
"mu_chain.Reference",2.17537600580421
"mu_chain.Reference",2.18070575942824
"mu_chain.Reference",2.15822673501886
"mu_chain.Reference",2.16604368871268
"mu_chain.Reference",2.18236354314266
"mu_chain.Reference",2.19573504973111
"mu_chain.Reference",2.15888277469322
"mu_chain.Reference",2.16474645178192
"mu_chain.Reference",2.17556356205703
"mu_chain.Reference",2.16715490141661
"mu_chain.Reference",2.17000489923884
"mu_chain.Reference",2.17932410219672
"mu_chain.Reference",2.19329243774655
"mu_chain.Reference",2.20622405618801
"mu_chain.Reference",2.18582987582978
"mu_chain.Reference",2.17693358081989
"mu_chain.Reference",2.16440555594992
"mu_chain.Reference",2.16193892333108
"mu_chain.Reference",2.16485799609173
"mu_chain.Reference",2.14039684715502
"mu_chain.Reference",2.17408526018719
"mu_chain.Reference",2.18224969886029
"mu_chain.Reference",2.17422960110418
"mu_chain.Reference",2.16464333595987
"mu_chain.Reference",2.1735331350335
"mu_chain.Reference",2.1688219083551
"mu_chain.Reference",2.16265077731997
"mu_chain.Reference",2.1597774198122
"mu_chain.Reference",2.18250993501927
"mu_chain.Reference",2.166664307904
"mu_chain.Reference",2.15119519606713
"mu_chain.Reference",2.12909696115891
"mu_chain.Reference",2.18299822775309
"mu_chain.Reference",2.16202217201193
"mu_chain.Reference",2.14996952327211
"mu_chain.Reference",2.14527621698863
"mu_chain.Reference",2.16229193950629
"mu_chain.Reference",2.13659640627405
"mu_chain.Reference",2.13588740989549
"mu_chain.Reference",2.15300573935198
"mu_chain.Reference",2.16050994214311
"mu_chain.Reference",2.15465247782854
"mu_chain.Reference",2.13781109778853
"mu_chain.Reference",2.15860869779728
"mu_chain.Reference",2.1534430735516
"mu_chain.Reference",2.15470966684741
"mu_chain.Reference",2.13429733324313
"mu_chain.Reference",2.15065282168741
"mu_chain.Reference",2.14036258898895
"mu_chain.Reference",2.17478791886885
"mu_chain.Reference",2.14056023850454
"mu_chain.Reference",2.14493188313673
"mu_chain.Reference",2.14262154921539
"mu_chain.Reference",2.15680594394839
"mu_chain.Reference",2.15193023707121
"mu_chain.Reference",2.14511798669553
"mu_chain.Reference",2.15881091480569
"mu_chain.Reference",2.17005747865053
"mu_chain.Reference",2.12882966690835
"mu_chain.Reference",2.14934852517198
"mu_chain.Reference",2.121602707143
"mu_chain.Reference",2.14868016755559
"mu_chain.Reference",2.12750871947231
"mu_chain.Reference",2.14467949900556
"mu_chain.Reference",2.13255889512342
"mu_chain.Reference",2.14651411322813
"mu_chain.Reference",2.16284757275055
"mu_chain.Reference",2.11724784718827
"mu_chain.Reference",2.14590460232922
"mu_chain.Reference",2.13785937738289
"mu_chain.Reference",2.14603920041003
"mu_chain.Reference",2.14623868273917
"mu_chain.Reference",2.14693612098449
"mu_chain.Reference",2.13097851627956
"mu_chain.Reference",2.13325827596901
"mu_chain.Reference",2.15218316030483
"mu_chain.Reference",2.15025125557126
"mu_chain.Reference",2.14241027296032
"mu_chain.Reference",2.16333087130968
"mu_chain.Reference",2.13889520438194
"mu_chain.Reference",2.15220798646994
"mu_chain.Reference",2.16061781903715
"mu_chain.Reference",2.13940608265664
"mu_chain.Reference",2.17706570601267
"mu_chain.Reference",2.16911633315017
"mu_chain.Reference",2.16618735973809
"mu_chain.Reference",2.14748250730763
"mu_chain.Reference",2.14251157491707
"mu_chain.Reference",2.1486624366795
"mu_chain.Reference",2.14614215300958
"mu_chain.Reference",2.17538164793331
"mu_chain.Reference",2.16008473311702
"mu_chain.Reference",2.15496311055374
"mu_chain.Reference",2.15279722340835
"mu_chain.Reference",2.14584442495318
"mu_chain.Reference",2.16748749804826
"mu_chain.Reference",2.15383242711773
"mu_chain.Reference",2.16664609717392
"mu_chain.Reference",2.15375402694655
"mu_chain.Reference",2.14467917521961
"mu_chain.Reference",2.14262310754814
"mu_chain.Reference",2.15684521199765
"mu_chain.Reference",2.1693079258941
"mu_chain.Reference",2.14668516224319
"mu_chain.Reference",2.18419365719348
"mu_chain.Reference",2.16744923867952
"mu_chain.Reference",2.18437663267816
"mu_chain.Reference",2.18831601864462
"mu_chain.Reference",2.18146451722902
"mu_chain.Reference",2.1844383696253
"mu_chain.Reference",2.1618296556284
"mu_chain.Reference",2.17403060049694
"mu_chain.Reference",2.16166645137264
"mu_chain.Reference",2.16559295912887
"mu_chain.Reference",2.15519782308224
"mu_chain.Reference",2.16661928675159
"mu_chain.Reference",2.17918418730133
"mu_chain.Reference",2.15246530834486
"mu_chain.Reference",2.18144075735588
"mu_chain.Reference",2.18206016346953
"mu_chain.Reference",2.17970104126027
"mu_chain.Reference",2.14769184422151
"mu_chain.Reference",2.18373892716546
