mcmc_iteration,shifted_epoch_trial,v,v_est_z,a,a_est_z,r_z,theta_radians_z,theta_deg_z
3,3,0.4875651142748476,0.5830672452215598,0.7948639053151287,-0.7240481784064778,0.7031580238833557,2.1534649991748234,123.38445578186068
4,-1,1.1701192440865045,1.5293370688576888,0.8142811881869036,0.5112171453916808,,,
4,0,-0.936016886216698,-1.3905384069901083,0.8291604172897887,1.4577860282274622,3.0694731542091027,-1.2573051368358086,-72.03827790081029
4,1,-0.4568111873229124,-0.7261839296349174,0.7988339279305059,-0.47148805947251476,2.0404571490360848,2.809955936934765,160.99861580409095
4,2,0.11528750601609998,0.06695423480304342,0.7994334595243644,-0.43334778035594673,0.7940546761899381,1.5227455299200485,87.2468921368308
4,3,0.5657372255638307,0.6914424007320855,0.7885004520590851,-1.1288706862058202,0.9347393122936849,2.4099563790486522,138.08032933011782
5,-1,1.1581112612794104,1.5126896100308995,0.7997457250068121,-0.4134824508536706,,,
5,0,-0.8205044417305616,-1.2303958839321405,0.8240773745531197,1.134419135266428,3.1496852775322766,-1.057046520102185,-60.56430435084574
5,1,-0.5322426079561463,-0.8307594848644038,0.8082875189016767,0.12991910903680567,1.081077959332785,2.7629444809798462,158.30505778910896
5,2,0.16157875815213424,0.13113085183816112,0.8028858255267384,-0.21371931658199225,1.0214305592665316,1.9139181472771036,109.65943217247595
5,3,0.530491971732783,0.6425795799387821,0.7962432655604158,-0.6362976990381416,0.6634397416457644,2.261332564303396,129.56481201008043
6,-1,1.1212205678242386,1.4615456077240458,0.7971562411986275,-0.5782171140869524,,,
6,0,-0.8708629549377901,-1.30021121333954,0.843488097606859,2.3692671444586635,4.039178653274133,-0.7528786113171282,-43.13676691414178
6,1,-0.6040319253076105,-0.9302857520160994,0.8005969256175004,-0.35933179522782516,2.7535607893405203,3.0068408223771073,172.27928878985387
6,2,0.16320944033113027,0.13339157413186542,0.7927301554609818,-0.8597905076444389,1.175528977522451,2.0105655380367797,115.19691976395706
6,3,0.4958995921609698,0.5946218818063187,0.7993279589287192,-0.44005939022953916,0.6236245726748034,0.8324700711326873,47.69702164685841
7,-1,1.0232299695075795,1.3256947760651847,0.8036473643162605,-0.16527265874443708,,,
7,0,-0.8459729948264172,-1.2657046194502053,0.8278049466281903,1.3715553276317467,3.0128377133172317,-1.0355031998550666,-59.32996302398711
7,1,-0.6211907176142983,-0.954074117891695,0.8034400937762932,-0.17845854640736378,1.5810302271668748,2.9431875509489367,168.63222498481903
7,2,0.1401268051736091,0.1013905940695342,0.804091515479253,-0.13701718480442876,1.0562779675099285,1.5315528684021233,87.75151546059685
7,3,0.44517037279373056,0.5242926179908878,0.8003990264170483,-0.3719215082963414,0.48376250684811267,2.077820300967958,119.05033383206649
8,-1,1.1302989941090336,1.474131629058027,0.8060742640346569,-0.0108810743879934,,,
8,0,-0.9769820750533852,-1.4473311510709466,0.8283570305523399,1.4066771380226208,3.247216663737067,-1.1190408020625233,-64.11631506111713
8,1,-0.6199488660894839,-0.9523524571881069,0.7941412107370415,-0.7700236919684607,2.2322702369296206,2.91799637733435,167.1888770557219
8,2,0.1968820713718504,0.18007416419261127,0.7995662299379787,-0.424901352034998,1.1838494339792105,1.2749750668303175,73.05069031378727
8,3,0.4932712174621996,0.5909779925468087,0.7942457195486344,-0.7633751762186182,0.5323593577778266,2.2598402488140046,129.4793086308363
9,-1,1.093285504276538,1.422817386031444,0.7993004968908486,-0.44180643709116424,,,
9,0,-0.8808529535651191,-1.3140610075555919,0.8204600246317371,0.9042949231696246,3.049998723504569,-1.1136994455447988,-63.810277875776826
9,1,-0.4724884427583639,-0.7479183431972479,0.7993330795342692,-0.4397336337107428,1.4583999033587074,2.7429211287356865,157.15780421381479
9,2,0.16617111219638456,0.13749753524351468,0.7991758414414037,-0.4497366173918035,0.8854723809795261,1.582093343694447,90.6472713894322
9,3,0.4380266766475061,0.5143888406974103,0.7941247284354083,-0.7710722431894697,0.49528137511269227,2.2767949686080073,130.45074251785957
